0,1,2,3
217,218,83.85454545454546,"['CompanyName', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'Accounts.LastMadeUpDate', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_3', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
221,222,91.55454545454545,"['CompanyName.1', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'CompanyName.8', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'IncorporationDate', 'Accounts.AccountRefDay', 'Accounts.AccountRefMonth', 'Accounts.NextDueDate', 'Accounts.LastMadeUpDate', 'Accounts.AccountCategory', 'Mortgages.NumMortPartSatisfied', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_1', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_7.CompanyName', 'PreviousName_8.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
221,223,91.36363636363636,"['CompanyName.1', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'CompanyName.8', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'IncorporationDate', 'Accounts.AccountRefDay', 'Accounts.AccountRefMonth', 'Accounts.NextDueDate', 'Accounts.LastMadeUpDate', 'Accounts.AccountCategory', 'Mortgages.NumMortPartSatisfied', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_1', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_7.CompanyName', 'PreviousName_8.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
221,224,91.57272727272728,"['CompanyName.1', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'CompanyName.8', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'IncorporationDate', 'Accounts.AccountRefDay', 'Accounts.AccountRefMonth', 'Accounts.NextDueDate', 'Accounts.LastMadeUpDate', 'Accounts.AccountCategory', 'Mortgages.NumMortPartSatisfied', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_1', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_7.CompanyName', 'PreviousName_8.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
221,225,91.04545454545455,"['CompanyName.1', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'CompanyName.8', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'IncorporationDate', 'Accounts.AccountRefDay', 'Accounts.AccountRefMonth', 'Accounts.NextDueDate', 'Accounts.LastMadeUpDate', 'Accounts.AccountCategory', 'Mortgages.NumMortPartSatisfied', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_1', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_7.CompanyName', 'PreviousName_8.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
222,223,91.78181818181818,"['CompanyName.1', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'CompanyName.8', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'IncorporationDate', 'Accounts.AccountRefDay', 'Accounts.AccountRefMonth', 'Accounts.NextDueDate', 'Accounts.LastMadeUpDate', 'Accounts.AccountCategory', 'Mortgages.NumMortPartSatisfied', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_1', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_7.CompanyName', 'PreviousName_8.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
222,224,91.17272727272727,"['CompanyName.1', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'CompanyName.8', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'IncorporationDate', 'Accounts.AccountRefDay', 'Accounts.AccountRefMonth', 'Accounts.NextDueDate', 'Accounts.LastMadeUpDate', 'Accounts.AccountCategory', 'Mortgages.NumMortPartSatisfied', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_1', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_7.CompanyName', 'PreviousName_8.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
222,225,91.24545454545455,"['CompanyName.1', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'CompanyName.8', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'IncorporationDate', 'Accounts.AccountRefDay', 'Accounts.AccountRefMonth', 'Accounts.NextDueDate', 'Accounts.LastMadeUpDate', 'Accounts.AccountCategory', 'Mortgages.NumMortPartSatisfied', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_1', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_7.CompanyName', 'PreviousName_8.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
223,224,91.65454545454546,"['CompanyName.1', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'CompanyName.8', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'IncorporationDate', 'Accounts.AccountRefDay', 'Accounts.AccountRefMonth', 'Accounts.NextDueDate', 'Accounts.LastMadeUpDate', 'Accounts.AccountCategory', 'Mortgages.NumMortPartSatisfied', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_1', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_7.CompanyName', 'PreviousName_8.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
223,225,91.66363636363636,"['CompanyName.1', 'CompanyName.2', 'CompanyName.3', 'CompanyName.4', 'CompanyName.5', 'CompanyName.6', 'CompanyName.7', 'CompanyName.8', 'RegAddress.PostCode', 'CompanyCategory', 'CompanyStatus', 'CountryOfOrigin', 'IncorporationDate', 'Accounts.AccountRefDay', 'Accounts.AccountRefMonth', 'Accounts.NextDueDate', 'Accounts.LastMadeUpDate', 'Accounts.AccountCategory', 'Mortgages.NumMortPartSatisfied', 'Mortgages.NumMortSatisfied', 'SICCode.SicText_1', 'SICCode.SicText_4', 'LimitedPartnerships.NumGenPartners', 'LimitedPartnerships.NumLimPartners', 'URI', 'PreviousName_1.CONDATE', '\xa0PreviousName_1.CompanyName', '\xa0PreviousName_2.CONDATE', '\xa0PreviousName_2.CompanyName', 'PreviousName_3.CONDATE', '\xa0PreviousName_3.CompanyName', 'PreviousName_4.CONDATE', '\xa0PreviousName_4.CompanyName', 'PreviousName_5.CONDATE', '\xa0PreviousName_5.CompanyName', 'PreviousName_6.CONDATE', '\xa0PreviousName_6.CompanyName', 'PreviousName_7.CONDATE', '\xa0PreviousName_7.CompanyName', 'PreviousName_8.CONDATE', '\xa0PreviousName_8.CompanyName', 'PreviousName_9.CONDATE', '\xa0PreviousName_9.CompanyName', 'PreviousName_10.CONDATE', '\xa0PreviousName_10.CompanyName', 'ConfStmtNextDueDate', '\xa0ConfStmtLastMadeUpDate']"
